event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-pressure,data-decoding-software,external-temperature,gps:horizontal-accuracy-estimate,gps:speed-accuracy-estimate,gps-time-to-fix,ground-speed,heading,height-above-ellipsoid,icarus:barometric-pressure-raw,icarus:battery-voltage-raw,icarus:ecef-vx,icarus:ecef-vy,icarus:ecef-vz,icarus:ecef-x,icarus:ecef-y,icarus:ecef-z,icarus:internal-reference-raw,icarus:relative-humidity,icarus:relative-humidity-raw,icarus:reset-counter,icarus:resistance-raw,icarus:solar-cell-current,icarus:solar-cell-current-raw,icarus:solar-cell-voltage-raw,icarus:temperature0-raw,icarus:temperature1-raw,icarus:temperature2-raw,icarus:timestamp-accuracy,icarus:timestamp-source,icarus:uplink-counter,import-marked-outlier,location-error-text,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,magnetic-field-x,magnetic-field-y,magnetic-field-z,mortality-status,tag-voltage,transmission-protocol,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
20291937903,true,2021-10-04 06:30:00.000,113.9930813,45.2587474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937904,true,2021-10-05 04:01:00.000,113.9929955,45.2587474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937905,true,2021-10-06 04:02:00.000,113.9928238,45.2586616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937906,true,2021-10-07 04:01:00.000,113.9932959,45.2583612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937907,true,2021-10-08 04:01:00.000,113.9927809,45.2587045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937908,true,2021-10-09 04:04:00.000,113.9929955,45.2588761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937909,true,2021-10-10 04:01:00.000,113.9929955,45.2587045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937910,true,2021-10-12 03:26:00.000,113.9926951,45.2585328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937911,true,2021-10-13 04:02:00.000,113.9926951,45.2586616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20291937912,true,2021-10-13 07:36:00.000,113.9926956,45.2586857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","common-uplink-header",,false,">10m",,,,,,,"alive",3975.0,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20880253525,true,2021-10-21 04:01:00.000,116.1344285,38.2128187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
20880253526,true,2021-10-22 04:01:00.000,116.1278625,38.2078834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,">10m",,,,,,,"",,"space","gps","Gallinago gallinago","B9FE31","B9FE31","ICARUS Mongolia cuckoos Nymba"
